City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
126,Port Elizabeth,ZA,-33.918,25.5701,56.32,89,0,5.75,clear sky
127,Ereymentau,KZ,51.6199,73.1033,49.23,62,95,4.83,overcast clouds
128,Namibe,AO,-15.1961,12.1522,72.9,49,50,3.78,scattered clouds
129,Chipata,ZM,-13.6333,32.65,60.49,59,97,8.95,overcast clouds
130,Lamar,US,33.6668,-95.5836,87.53,58,94,12.88,overcast clouds
131,Eureka,US,40.8021,-124.1637,67.39,90,78,8.43,broken clouds
132,Mersing,MY,2.4312,103.8405,75.11,94,40,3.44,scattered clouds
133,Sikonge,TZ,-5.6333,32.7667,60.62,48,41,3.42,scattered clouds
134,Severo-Kurilsk,RU,50.6789,156.125,45.73,80,77,5.17,broken clouds
135,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,8.05,light rain
136,Georgetown,MY,5.4112,100.3354,79.95,93,20,2.3,few clouds
137,Lavrentiya,RU,65.5833,-171.0,40.84,69,93,2.59,overcast clouds
138,Avarua,CK,-21.2078,-159.775,82.45,78,17,6.91,few clouds
139,Mariental,NA,-24.6333,17.9667,54.39,31,100,11.54,overcast clouds
140,Valence,ES,39.4697,-0.3774,74.34,66,0,4.0,clear sky
141,Katangli,RU,51.7102,143.2326,56.52,56,61,8.08,broken clouds
142,Qaanaaq,GL,77.484,-69.3632,30.72,77,0,2.93,clear sky
143,Mtwara,TZ,-10.2667,40.1833,74.8,77,94,15.46,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,82.87,69,61,5.44,broken clouds
145,Carnarvon,AU,-24.8667,113.6333,65.57,49,1,7.11,clear sky
146,Ribeira Grande,PT,38.5167,-28.7,65.8,96,96,11.25,overcast clouds
147,Alugan,PH,12.2188,125.4808,79.36,80,93,2.71,overcast clouds
148,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,8.05,clear sky
149,Lompoc,US,34.6391,-120.4579,88.57,72,0,30.0,clear sky
150,Luderitz,NA,-26.6481,15.1594,69.39,27,59,9.69,broken clouds
151,Dingle,PH,10.9995,122.6711,78.19,86,100,1.14,overcast clouds
152,Solano,US,38.2333,-121.9511,81.97,61,75,8.05,broken clouds
153,Kushima,JP,31.4583,131.2333,72.23,96,100,8.05,overcast clouds
154,Pucallpa,PE,-8.3791,-74.5539,84.24,65,40,4.61,scattered clouds
155,Kahului,US,20.8947,-156.47,84.22,58,40,20.71,scattered clouds
156,Hambantota,LK,6.1241,81.1185,78.08,85,93,16.62,overcast clouds
157,Bredasdorp,ZA,-34.5322,20.0403,54.68,82,9,3.87,clear sky
158,Praia,CV,14.9215,-23.5087,73.94,78,0,24.16,clear sky
159,New Norfolk,AU,-42.7826,147.0587,50.92,79,97,5.01,overcast clouds
160,Krasnoselkup,RU,65.7,82.4667,34.07,60,7,9.53,clear sky
161,Londoko,RU,49.0333,131.9833,62.83,50,1,1.81,clear sky
162,Mount Gambier,AU,-37.8333,140.7667,46.44,83,76,10.2,broken clouds
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.31,56,48,8.99,scattered clouds
164,Parakou,BJ,9.3372,2.6303,74.62,83,77,3.15,broken clouds
165,Asyut,EG,27.181,31.1837,84.38,24,83,3.53,broken clouds
166,Campos Altos,BR,-19.6961,-46.1714,59.04,70,4,1.99,clear sky
167,Flin Flon,CA,54.7682,-101.865,55.24,50,40,5.75,scattered clouds
168,Mokhsogollokh,RU,61.4681,128.9203,71.78,50,32,2.46,scattered clouds
