City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Santa Cruz,-17.8,-63.1667,85.46,58,40,17.27,BO,2022-06-05 18:14:17
97,Touros,-5.1989,-35.4608,76.59,87,91,12.41,BR,2022-06-05 18:15:55
98,Mandalgovi,45.7625,106.2708,51.6,70,97,15.52,MN,2022-06-05 18:17:24
99,Port Blair,11.6667,92.75,81.16,78,99,13.44,IN,2022-06-05 18:17:24
100,Pangnirtung,66.1451,-65.7125,42.8,75,0,6.91,CA,2022-06-05 18:17:25
101,Chifeng,42.2683,118.9636,55.69,70,88,19.39,CN,2022-06-05 18:17:25
102,Dingle,10.9995,122.6711,75.7,92,100,2.44,PH,2022-06-05 18:17:26
103,Nuuk,64.1835,-51.7216,59.61,26,0,8.05,GL,2022-06-05 18:17:26
104,Xiongyue,40.1774,122.1228,62.89,89,75,13.15,CN,2022-06-05 18:17:26
105,Klaksvik,62.2266,-6.589,50.92,84,97,13.02,FO,2022-06-05 18:17:27
106,Coruripe,-10.1256,-36.1756,77.05,86,31,13.35,BR,2022-06-05 18:17:27
107,Grindavik,63.8424,-22.4338,48.15,100,100,10.36,IS,2022-06-05 18:17:27
108,Miri,4.4148,114.0089,82.54,83,40,3.44,MY,2022-06-05 18:17:28
109,Port Lincoln,-34.7333,135.8667,53.94,58,92,16.6,AU,2022-06-05 18:13:05
110,Severo-Kurilsk,50.6789,156.125,42.69,86,79,7.09,RU,2022-06-05 18:17:29
111,Katangli,51.7102,143.2326,40.91,88,25,8.43,RU,2022-06-05 18:17:29
112,Fairbanks,64.8378,-147.7164,66.02,27,0,12.66,US,2022-06-05 18:17:29
113,Baculin,7.4525,126.5842,77.81,85,100,6.89,PH,2022-06-05 18:17:30
114,Mount Isa,-20.7333,139.5,65.97,77,75,8.05,AU,2022-06-05 18:17:30
115,The Valley,18.217,-63.0578,87.66,74,20,14.97,AI,2022-06-05 18:17:31
116,Shingu,33.7333,135.9833,64.29,95,100,19.35,JP,2022-06-05 18:17:31
117,Celestun,20.8667,-90.4,83.8,64,17,8.57,MX,2022-06-05 18:17:31
118,Khatanga,71.9667,102.5,25.63,88,99,3.98,RU,2022-06-05 18:17:32
119,Victoria,22.2855,114.1577,85.17,82,100,11.99,HK,2022-06-05 18:15:59
120,Murgab,37.4966,61.9714,78.67,36,0,0.0,TM,2022-06-05 18:17:32
