City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
615,Ancona,IT,77.22,scattered clouds,43.55,13.1667,Casa Vandina - B&B
616,Nabire,ID,76.75,clear sky,-3.3667,135.4833,Hotel Nusantara I
630,Dillon,US,88.14,broken clouds,34.4166,-79.3712,Dillon Express Inn
635,Guatire,VE,79.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
636,Mandeville,JM,75.51,broken clouds,18.0417,-77.5071,Mandeville Hotel
637,Mitsamiouli,KM,78.06,light rain,-11.3847,43.2844,Foyer ADM
641,Makat,KZ,79.18,overcast clouds,47.6469,53.3463,Umit
642,Rincon,US,79.86,broken clouds,32.296,-81.2354,Days Inn Rincon
643,Barra Do Garcas,BR,76.41,clear sky,-15.89,-52.2567,Pousada Tropical
649,Ormara,PK,80.98,clear sky,25.2088,64.6357,Kenara Colony house for Rent
650,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
653,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
660,Bac Lieu,VN,79.59,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
661,Fare,PF,79.7,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
668,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
674,Dubuque,US,77.59,overcast clouds,42.4833,-90.8668,American Inn and Suites
679,Badiraguato,MX,89.71,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
680,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
682,Celmira,PA,76.51,overcast clouds,8.5433,-82.8028,La Posada
683,Seydi,TM,77.95,clear sky,39.4816,62.9137,Seydi oteli
685,Ratnagiri,IN,82.22,overcast clouds,16.9833,73.3,Hotel Landmark
689,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
693,Kochi,IN,75.18,light rain,9.9399,76.2602,Trident Hotel Cochin
694,Defiance,US,84.18,overcast clouds,41.3334,-84.45,Airway Estates
695,Outram,MY,78.82,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
696,Beihai,CN,82.09,overcast clouds,21.4833,109.1,21 Degree Hostel
698,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
699,Mangrol,IN,81.21,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
700,Teknaf,BD,78.82,scattered clouds,20.8624,92.3058,Forestry Guesthouse
704,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
705,Yellandu,IN,82.94,broken clouds,17.6,80.3333,Varalaxmi
706,Awbari,LY,81.84,clear sky,26.5921,12.7805,فندق أوباري
712,Buala,SB,83.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
